"","OWNER","TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_TYPE_MOD","DATA_TYPE_OWNER","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID","DEFAULT_LENGTH","DATA_DEFAULT","NUM_DISTINCT","LOW_VALUE","HIGH_VALUE","DENSITY","NUM_NULLS","NUM_BUCKETS","LAST_ANALYZED","SAMPLE_SIZE","CHARACTER_SET_NAME","CHAR_COL_DECL_LENGTH","GLOBAL_STATS","USER_STATS","AVG_COL_LEN","CHAR_LENGTH","CHAR_USED","V80_FMT_IMAGE","DATA_UPGRADED","HISTOGRAM","DEFAULT_ON_NULL","IDENTITY_COLUMN","EVALUATION_EDITION","UNUSABLE_BEFORE","UNUSABLE_BEGINNING","COLLATION"
"14","FDW3NF","VW_CAMA_CSSTORE","CSS_TREND_PRICE_2","NUMBER",NA,NA,22,11,2,"Y",14,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"15","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_SALE_PRICE_2","NUMBER",NA,NA,22,11,2,"Y",15,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"16","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_DATE_2","TIMESTAMP(6)",NA,NA,11,NA,6,"Y",16,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"17","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PID_3","NUMBER",NA,NA,22,9,0,"Y",17,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"18","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_BID_3","NUMBER",NA,NA,22,9,0,"Y",18,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"19","FDW3NF","VW_CAMA_CSSTORE","CSS_WEIGHT_3","NUMBER",NA,NA,22,9,0,"Y",19,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"20","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PRICE_3","NUMBER",NA,NA,22,11,2,"Y",20,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"21","FDW3NF","VW_CAMA_CSSTORE","CSS_TREND_PRICE_3","NUMBER",NA,NA,22,11,2,"Y",21,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"22","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_SALE_PRICE_3","NUMBER",NA,NA,22,11,2,"Y",22,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"23","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_DATE_3","TIMESTAMP(6)",NA,NA,11,NA,6,"Y",23,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"24","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PID_4","NUMBER",NA,NA,22,9,0,"Y",24,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"25","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_BID_4","NUMBER",NA,NA,22,9,0,"Y",25,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"26","FDW3NF","VW_CAMA_CSSTORE","CSS_WEIGHT_4","NUMBER",NA,NA,22,9,0,"Y",26,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"27","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PRICE_4","NUMBER",NA,NA,22,11,2,"Y",27,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"28","FDW3NF","VW_CAMA_CSSTORE","CSS_TREND_PRICE_4","NUMBER",NA,NA,22,11,2,"Y",28,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"29","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_SALE_PRICE_4","NUMBER",NA,NA,22,11,2,"Y",29,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"30","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_DATE_4","TIMESTAMP(6)",NA,NA,11,NA,6,"Y",30,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"31","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PID_5","NUMBER",NA,NA,22,9,0,"Y",31,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"32","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_BID_5","NUMBER",NA,NA,22,9,0,"Y",32,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"33","FDW3NF","VW_CAMA_CSSTORE","CSS_WEIGHT_5","NUMBER",NA,NA,22,9,0,"Y",33,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"34","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PRICE_5","NUMBER",NA,NA,22,11,2,"Y",34,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"35","FDW3NF","VW_CAMA_CSSTORE","CSS_TREND_PRICE_5","NUMBER",NA,NA,22,11,2,"Y",35,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"36","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_SALE_PRICE_5","NUMBER",NA,NA,22,11,2,"Y",36,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"37","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_DATE_5","TIMESTAMP(6)",NA,NA,11,NA,6,"Y",37,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"38","FDW3NF","VW_CAMA_CSSTORE","CSS_RUN_DATE","TIMESTAMP(6)",NA,NA,11,NA,6,"Y",38,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"39","FDW3NF","VW_CAMA_CSSTORE","CSS_RUN_PARAMS","VARCHAR2",NA,NA,50,NA,NA,"Y",39,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",50,"NO","NO",NA,50,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"40","FDW3NF","VW_CAMA_CSSTORE","CSS_OVERRIDE","VARCHAR2",NA,NA,1,NA,NA,"Y",40,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",1,"NO","NO",NA,1,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"41","FDW3NF","VW_CAMA_CSSTORE","CSS_VALUE_OVERRIDE","NUMBER",NA,NA,22,1,0,"Y",41,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"42","FDW3NF","VW_CAMA_CSSTORE","CSS_VALUE","NUMBER",NA,NA,22,11,0,"Y",42,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"43","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_PRICE_PSFLA_1","NUMBER",NA,NA,22,12,2,"Y",43,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"44","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_PRICE_PSFLA_2","NUMBER",NA,NA,22,12,2,"Y",44,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"45","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_PRICE_PSFLA_3","NUMBER",NA,NA,22,12,2,"Y",45,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"46","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_PRICE_PSFLA_4","NUMBER",NA,NA,22,12,2,"Y",46,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"47","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_PRICE_PSFLA_5","NUMBER",NA,NA,22,12,2,"Y",47,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"48","FDW3NF","VW_CAMA_CSSTORE","CSS_CREATE_DATE","DATE",NA,NA,7,NA,NA,"Y",48,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"49","FDW3NF","VW_CAMA_CSSTORE","CSS_LAST_UPDATE","DATE",NA,NA,7,NA,NA,"Y",49,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"50","FDW3NF","VW_PDM_DW_STARCAP_HIST","BBLE_DOCREF_ID","VARCHAR2",NA,NA,30,NA,NA,"Y",1,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",30,"NO","NO",NA,30,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"51","FDW3NF","VW_PDM_DW_STARCAP_HIST","WS_CD_BORO","NUMBER",NA,NA,22,1,0,"Y",2,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"52","FDW3NF","VW_PDM_DW_STARCAP_HIST","WS_ID_BLOCK","NUMBER",NA,NA,22,5,0,"Y",3,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"53","FDW3NF","VW_PDM_DW_STARCAP_HIST","WS_ID_LOT","NUMBER",NA,NA,22,4,0,"Y",4,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"54","FDW3NF","VW_PDM_DW_STARCAP_HIST","WS_ID_EASEMENT","CHAR",NA,NA,1,NA,NA,"Y",5,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",1,"NO","NO",NA,1,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"55","FDW3NF","VW_PDM_DW_STARCAP_HIST","WS_CD_TAX_YR","NUMBER",NA,NA,22,4,0,"Y",6,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"56","FDW3NF","VW_PDM_DW_STARCAP_HIST","WS_AM_STAR_BASIC_CAP","NUMBER",NA,NA,22,12,2,"Y",7,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"57","FDW3NF","VW_PDM_DW_STARCAP_HIST","WS_AM_STAR_ENHANCED_CAP","NUMBER",NA,NA,22,12,2,"Y",8,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"58","FDW3NF","VW_PDM_DW_STARCAP_HIST","ADT_SK","NUMBER",NA,NA,22,11,0,"N",9,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"59","FDW3NF","VW_PDM_DW_STARCAP_HIST","RCRD_LST_UPD_DT","DATE",NA,NA,7,NA,NA,"N",10,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"60","FDW3NF","VW_PDM_DW_STARCAP_HIST","RCRD_LST_UPD_ID","VARCHAR2",NA,NA,20,NA,NA,"N",11,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"61","FDW3NF","VW_PDM_DW_STARCAP_HIST","ACTV_IND","VARCHAR2",NA,NA,1,NA,NA,"N",12,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",1,"NO","NO",NA,1,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"62","FDW3NF","VW_PDM_DW_STARCAP_HIST","STT_DT","DATE",NA,NA,7,NA,NA,"N",13,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"63","FDW3NF","VW_PDM_DW_STARCAP_HIST","END_DT","DATE",NA,NA,7,NA,NA,"N",14,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"64","FDW3NF","VW_PDM_DW_STARCAP_HIST","DATE_KEY","NUMBER",NA,NA,22,10,0,"Y",15,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"65","FDW3NF","VW_PTS_TCDEF","USER5","VARCHAR2",NA,NA,20,NA,NA,"Y",451,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"66","FDW3NF","VW_PTS_TCDEF","USER6","VARCHAR2",NA,NA,20,NA,NA,"Y",452,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"67","FDW3NF","VW_PTS_TCDEF","USER7","VARCHAR2",NA,NA,20,NA,NA,"Y",453,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"68","FDW3NF","VW_PTS_TCDEF","USER8","VARCHAR2",NA,NA,20,NA,NA,"Y",454,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"69","FDW3NF","VW_PTS_TCDEF","USER9","VARCHAR2",NA,NA,20,NA,NA,"Y",455,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"70","FDW3NF","VW_PTS_TCDEF","USER10","VARCHAR2",NA,NA,20,NA,NA,"Y",456,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"71","FDW3NF","VW_PTS_TCDEF","USER11","VARCHAR2",NA,NA,20,NA,NA,"Y",457,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"72","FDW3NF","VW_PTS_TCDEF","USER12","VARCHAR2",NA,NA,20,NA,NA,"Y",458,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"73","FDW3NF","VW_PTS_TCDEF","USER13","VARCHAR2",NA,NA,20,NA,NA,"Y",459,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"74","FDW3NF","VW_PTS_TCDEF","USER14","VARCHAR2",NA,NA,20,NA,NA,"Y",460,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"75","FDW3NF","VW_PTS_TCDEF","USER15","VARCHAR2",NA,NA,20,NA,NA,"Y",461,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"76","FDW3NF","VW_PTS_TCDEF","USER16","VARCHAR2",NA,NA,20,NA,NA,"Y",462,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"77","FDW3NF","VW_PTS_TCDEF","USER17","VARCHAR2",NA,NA,20,NA,NA,"Y",463,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"78","FDW3NF","VW_PTS_TCDEF","USER18","VARCHAR2",NA,NA,20,NA,NA,"Y",464,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"79","FDW3NF","VW_PTS_TCDEF","USER19","VARCHAR2",NA,NA,20,NA,NA,"Y",465,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"80","FDW3NF","VW_PTS_TCDEF","USER20","VARCHAR2",NA,NA,20,NA,NA,"Y",466,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,"CHAR_CS",20,"NO","NO",NA,20,"B","NO","YES","NONE","NO","NO",NA,NA,NA,"USING_NLS_COMP"
"81","FDW3NF","VW_PTS_TCDEF","USERVAL1","NUMBER",NA,NA,22,NA,NA,"Y",467,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"82","FDW3NF","VW_PTS_TCDEF","USERVAL2","NUMBER",NA,NA,22,NA,NA,"Y",468,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"83","FDW3NF","VW_PTS_TCDEF","USERVAL3","NUMBER",NA,NA,22,NA,NA,"Y",469,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"84","FDW3NF","VW_PTS_TCDEF","USERVAL4","NUMBER",NA,NA,22,NA,NA,"Y",470,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"85","FDW3NF","VW_PTS_TCDEF","USERVAL5","NUMBER",NA,NA,22,NA,NA,"Y",471,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"86","FDW3NF","VW_PTS_TCDEF","USERVAL6","NUMBER",NA,NA,22,NA,NA,"Y",472,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
