block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
630,prediction,GROSSCON,6,0.9745,0.27397665220511724,0.16470588235294117,23.276253295735206,1.1040362285326257,-0.4239983583217762,1.1389908163742055,0.20312684365781722,0.06152948740334274,-0.14159735625447448,0.30291165015586957,TRUE,FALSE,FALSE
632,prediction,GROSSCON,15,1.022,0.9480897208545195,0.9007187579861997,12.979731783739062,1.039043508474199,-0.05504859528088922,1.1379849275540939,0.32571100711716977,0.2864402243452451,-0.039270782771924695,0.8794305936434086,TRUE,TRUE,FALSE
633,prediction,GROSSCON,5,,,,,,,,,,,,,,
634,prediction,GROSSCON,8,0.9869,0.9661567284625083,0.5513482501434311,8.581607731838735,1.022947990168651,-0.04135142755717283,1.0772839518021406,0.2786970010341261,0.25251461306847056,-0.02618238796565553,0.9060542888208204,TRUE,TRUE,TRUE
636,prediction,GROSSCON,15,1.0088,0.818967340932188,0.8735645449823993,8.6849488750721,1.0509607803109329,-0.08114283829704728,1.1280153255195389,0.2977807721361344,0.24068706582766192,-0.05709370630847249,0.8082693321704084,TRUE,TRUE,FALSE
637,prediction,GROSSCON,10,0.9031,0.880631585397896,0.3176859504132231,15.250475207752256,1.0451122368136727,-0.2263217193562867,1.4315927741547256,0.20095912227924267,0.1149861734794003,-0.08597294879984238,0.5721868814674723,TRUE,FALSE,FALSE
638,prediction,GROSSCON,5,,,,,,,,,,,,,,
640,prediction,GROSSCON,12,1.0071,0.9820537744312664,0.8780869480170181,12.087810454394134,1.0418538895405327,-0.04126975345748613,1.0341373977229624,0.4306002254358665,0.41663545755250136,-0.013964767883365148,0.967569065089946,TRUE,TRUE,TRUE
641,prediction,GROSSCON,9,1.0146,0.9000609225148042,0.8017507002801121,13.201397337010379,1.0648826614785116,-0.07687121536761175,1.087815922085159,0.33716998578506463,0.29874958821576253,-0.0384203975693021,0.8860503627573959,TRUE,TRUE,FALSE
642,prediction,GROSSCON,20,1.0333,0.6675426209319216,0.767107527855784,16.68826204361562,1.0883444944831329,-0.08071222619419406,1.1242131541091258,0.33502686959018746,0.25135986598153276,-0.0836670036086547,0.7502677808768052,TRUE,FALSE,FALSE
643,prediction,GROSSCON,5,,,,,,,,,,,,,,
717,prediction,GROSSCON,9,1.1477,0.8110912558152039,0.2983757062146893,18.008220088614976,1.0810483648854663,-0.22650402334604983,1.3407595673550294,0.2564476061701721,0.15153828882490808,-0.10490931734526401,0.5909132515916375,FALSE,FALSE,FALSE
719,prediction,GROSSCON,2,,,,,,,,,,,,,,
720,prediction,GROSSCON,17,0.9607,0.9950453593435344,0.9828973358385121,6.636032715509967,1.0265257637181373,-0.059244377042709136,1.0575304606241716,0.3336218715631335,0.32491818193742444,-0.008703689625709055,0.9739115136998385,TRUE,TRUE,TRUE
722,prediction,GROSSCON,7,1.056,0.71560118982381,0.7971938775510201,16.011730359535754,1.0931593760097558,-0.2750100708155568,1.4000410227993925,0.2531543209142476,0.1498334141848781,-0.1033209067293695,0.5918659165830791,TRUE,FALSE,FALSE
731,prediction,GROSSCON,12,1.0046,0.9672979414178109,0.4977229176517433,4.122254120470946,1.0029229193873297,-0.025598181924580486,1.0090957644549368,0.1225691334123155,0.10940894486613069,-0.013160188546184809,0.8926304838762734,TRUE,FALSE,TRUE
732,prediction,GROSSCON,14,1.0017,0.829249170432832,0.5420842893370367,9.973516262806688,1.0239661267997948,-0.14922224135492335,1.1922266335577252,0.16619648011110882,0.1142347233686546,-0.05196175674245422,0.6873474293335469,TRUE,TRUE,TRUE
738,prediction,GROSSCON,1,,,,,,,,,,,,,,
740,prediction,GROSSCON,10,1.0473,0.8686574143591604,0.5557024793388429,12.339280674757038,1.0309344718873956,-0.14977168452672238,1.5141594153482738,0.19769734308817863,0.1354174956537678,-0.06227984743441084,0.684973776270568,TRUE,TRUE,FALSE
741,prediction,GROSSCON,1,,,,,,,,,,,,,,
742,prediction,GROSSCON,19,1.0019,0.9155605522762201,0.8154590822974908,9.993027390934056,1.0295183967559418,-0.12247391106010018,1.226212002791441,0.2124903336407934,0.1784369705762641,-0.0340533630645293,0.8397415897417001,TRUE,TRUE,TRUE
743,prediction,GROSSCON,7,1.0122,0.3013258097760278,0.6173469387755098,44.110502818976435,1.304511857427977,-1.1155118794332948,2.905167219243674,0.2693328237929113,0.08782355987711858,-0.1815092639157927,0.3260781906948174,TRUE,FALSE,FALSE
744,prediction,GROSSCON,17,0.9645,0.6285453618848633,0.5906995673866839,16.71562843617191,1.0438062531453496,-0.39191079945046986,1.6331884310111298,0.15820634285998444,0.08495741495433465,-0.0732489279056498,0.537003848382511,TRUE,FALSE,FALSE
745,prediction,GROSSCON,16,0.9789,0.959946015286063,0.6185046449231197,15.308367043713112,1.0636019160484909,-0.1586054365178276,1.4604702318528775,0.2866695635380456,0.2043057148329832,-0.08236384870506241,0.7126871521045469,TRUE,FALSE,FALSE
746,prediction,GROSSCON,8,0.9716,0.9100265149066425,0.7760770975056691,10.680096842236663,1.0317680773302902,-0.20042865833214005,1.3990779925911119,0.1897075247801201,0.1456270772711612,-0.0440804475089589,0.7676399628319952,TRUE,TRUE,FALSE
747,prediction,GROSSCON,9,0.9671,0.790975006315959,0.28683473389355746,4.172258834781925,1.0022408468065087,-0.08323185549785517,1.0017741208191673,0.04938271604938274,0.03913392502871776,-0.010248791020664984,0.7924619818315342,TRUE,FALSE,TRUE
753,prediction,GROSSCON,4,,,,,,,,,,,,,,
759,prediction,GROSSCON,4,,,,,,,,,,,,,,
761,prediction,GROSSCON,3,,,,,,,,,,,,,,
764,prediction,GROSSCON,7,0.8906,0.6078439055370424,0.41326530612244877,16.745979376163703,1.0359090262832793,-0.3002933144489966,1.560112166542782,0.1443023902167871,0.07410005085952928,-0.07020233935725781,0.5135053601552126,FALSE,FALSE,FALSE
765,prediction,GROSSCON,5,,,,,,,,,,,,,,
766,prediction,GROSSCON,18,1.0345,0.7988501697848173,0.4766555799442149,18.91497004680135,1.0937419622031554,-0.17747746321034027,1.2745847277317466,0.2934640417748711,0.18927421031823677,-0.10418983145663435,0.6449655950129561,TRUE,FALSE,FALSE
767,prediction,GROSSCON,1,,,,,,,,,,,,,,
769,prediction,GROSSCON,1,,,,,,,,,,,,,,
